company_id,company_name,tanggal_pembukaan_instansi,rekening_induk,total_trx,total_amount,tx_month,tx_year,fee_bjbs_total_amount,fee_bjbs_total_rek_ia,fee_bjbs_per_tx,fee_institusi_total_amount,fee_institusi_total_rek_ia,fee_institusi_per_tx,fee_3rd_party_total_amount,fee_3rd_party_total_rek_ia,fee_3rd_party_per_tx
322,SD Islam Ar Riyadh Insan Cendekia,8/5/2021 3:05:33 pm,5340101000171,142,137960000,MAY      ,2023,0,N/A,0,2595000,5340101000171,1500,0,N/A,0
323,SDI Terpadu Darul Hikam,8/5/2021 3:17:02 pm,5230206006981,162,107641950,MAY      ,2023,0,N/A,0,5167500,5230206006981,1500,0,N/A,0
327,YAYASAN CAHAYA INSAN MULIA DEPOK,8/24/2021 3:03:57 pm,5050102002584,195,167142000,MAY      ,2023,4431000,505194260070003360,1500,0,N/A,0,0,N/A,0
328,SDIT Bina Citra,9/8/2021 8:58:37 am,5140102000191,273,290401000,MAY      ,2023,5221500,514194260070003360,1500,0,N/A,0,0,N/A,0
329,STISNU NUSANTARA TANGERANG,9/20/2021 10:02:11 am,5040102001200,22,9892000,MAY      ,2023,1651000,515194260070001360,2000,110000,N/A,2000,2034500,0080102033620,2500
329,STISNU NUSANTARA TANGERANG,9/20/2021 10:02:11 am,5040102001200,22,9892000,MAY      ,2023,1651000,515194260070001360,2000,1526000,5040102001200,2000,2034500,0080102033620,2500
330,YAYASAN AL HIKMAH AL ALIYAH DEPOK,9/23/2021 9:45:09 am,5050102001543,95,40931000,MAY      ,2023,0,N/A,0,0,N/A,0,0,N/A,0
338,PONDOK PESANTREN AL AMIN,10/29/2021 7:56:43 am,5160206558113,322,552650000,MAY      ,2023,5986500,516194260070003360,1500,5986500,5160206558113,1500,0,N/A,0
341,YAYASAN TUHFATUL ATHFAL,11/1/2021 12:02:15 pm,5200206889883,113,65087000,MAY      ,2023,2374500,520194260070003360,1000,1236000,5200206889883,500,0,N/A,0
342,STAI SILIWANGI GARUT,11/3/2021 1:21:38 pm,5120102000597,5,1522500,MAY      ,2023,289000,512194260070001360,2000,0,N/A,0,359000,0080102033620,2500
346,STID AL BIRUNI CIREBON,12/1/2021 1:42:20 pm,5440102000616,7,3035500,MAY      ,2023,2441000,544194260070001360,2000,0,N/A,0,3049000,0080102033620,2500
